#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_mi,TIDE_ft
2019,12,31,23,50,205,5.8,7.2,,,,,991.6,7.5,8.0,7.5,,
2020,1,1,0,50,305,12.2,15.0,,,,,992.2,3.0,7.9,3.0,,
2020,1,1,1,50,289,10.8,13.1,,,,,994.5,1.6,7.9,1.6,,
2020,1,1,2,50,299,10.3,12.8,,,,,994.2,1.0,7.8,0.7,,
2020,1,1,3,50,292,9.1,11.6,,,,,994.6,0.7,7.8,0.1,,
2020,1,1,4,50,287,9.7,11.6,,,,,994.6,0.8,7.7,-0.2,,
2020,1,1,5,50,274,8.7,10.7,,,,,995.0,0.5,7.7,-0.7,,
2020,1,1,6,50,278,8.9,10.5,,,,,995.5,0.8,7.7,-0.6,,
2020,1,1,7,50,275,9.6,12.2,,,,,995.8,1.0,7.7,-0.7,,
2020,1,1,8,50,268,7.5,9.4,,,,,995.6,1.2,7.7,-0.6,,
2020,1,1,9,50,269,7.3,9.5,,,,,995.6,1.8,7.9,-0.5,,
2020,1,1,10,50,265,7.7,9.3,,,,,995.8,2.3,7.9,0.2,,
2020,1,1,11,50,263,7.7,9.6,,,,,995.8,2.8,7.9,0.8,,
2020,1,1,12,50,279,7.4,8.6,,,,,995.9,3.0,7.9,0.8,,
2020,1,1,13,50,287,8.2,9.9,,,,,996.4,2.9,7.9,0.5,,
2020,1,1,14,50,289,9.0,12.0,,,,,996.7,3.0,7.9,-1.3,,
2020,1,1,15,50,286,9.0,11.8,,,,,996.3,2.8,7.9,-1.4,,
2020,1,1,16,50,268,8.0,10.0,,,,,995.7,3.2,7.8,-1.2,,
2020,1,1,17,50,266,9.9,11.8,,,,,995.4,3.5,7.8,-1.2,,
2020,1,1,18,50,269,10.2,12.5,,,,,995.5,3.8,7.9,-1.7,,
2020,1,1,19,50,273,10.0,12.7,,,,,996.0,3.8,7.9,-2.0,,
2020,1,1,20,50,279,11.4,14.7,,,,,996.5,4.1,7.9,-1.9,,
2020,1,1,21,50,278,11.7,14.1,,,,,997.0,4.1,7.8,-0.9,,
2020,1,1,22,50,279,11.5,14.4,,,,,997.7,3.8,7.8,-0.9,,
2020,1,1,23,50,287,10.7,13.1,,,,,998.7,3.4,7.8,-1.1,,
2020,1,2,0,50,281,11.5,13.9,,,,,999.2,3.6,7.8,-1.1,,
2020,1,2,1,50,288,12.6,15.5,,,,,1000.0,3.6,7.9,-1.5,,
2020,1,2,2,50,286,12.3,15.2,,,,,1000.8,3.3,7.9,-2.3,,
2020,1,2,3,50,282,11.2,14.3,,,,,1001.2,3.5,7.9,-2.0,,
2020,1,2,4,50,285,12.4,15.2,,,,,1001.4,3.5,7.9,-1.7,,
2020,1,2,5,50,284,11.1,14.3,,,,,1002.0,3.4,7.9,-2.3,,
2020,1,2,6,50,284,12.7,16.3,,,,,1002.7,3.5,7.9,-2.3,,
2020,1,2,7,50,279,11.4,13.0,,,,,1003.2,3.5,7.8,-2.2,,
2020,1,2,8,50,286,12.0,15.0,,,,,1004.0,3.7,7.8,-2.8,,
2020,1,2,9,50,274,12.7,15.6,,,,,1004.7,3.7,7.9,-2.4,,
2020,1,2,10,50,272,11.9,14.2,,,,,1005.5,3.6,7.9,-1.5,,
2020,1,2,11,50,278,12.2,14.6,,,,,1006.2,3.4,7.9,-2.0,,
2020,1,2,12,50,282,12.3,15.1,,,,,1006.8,3.3,7.9,-3.0,,
2020,1,2,13,50,277,11.7,13.7,,,,,1007.6,3.2,7.9,-3.3,,
2020,1,2,14,50,282,10.9,13.4,,,,,1008.1,3.1,7.9,-4.1,,
2020,1,2,15,50,284,10.8,13.0,,,,,1007.6,2.8,7.9,-3.6,,
2020,1,2,16,50,288,9.2,10.7,,,,,1007.0,2.6,7.9,-4.0,,
2020,1,2,17,50,268,9.6,11.5,,,,,1006.7,2.9,7.8,-3.9,,
2020,1,2,18,50,269,9.4,11.3,,,,,1007.0,3.2,7.8,-4.2,,
2020,1,2,19,50,266,9.7,12.4,,,,,1007.7,3.3,7.8,-3.2,,
2020,1,2,20,50,265,8.7,10.9,,,,,1008.5,3.7,7.8,-2.3,,
2020,1,2,21,50,277,7.0,8.3,,,,,1008.9,3.9,7.8,-2.5,,
2020,1,2,22,50,265,7.3,8.5,,,,,1009.0,4.4,7.8,-3.6,,
2020,1,2,23,50,252,5.0,6.7,,,,,1009.3,4.8,7.8,-1.1,,
2020,1,3,0,50,245,6.4,7.5,,,,,1009.0,5.0,7.8,0.1,,
2020,1,3,1,50,249,6.9,8.4,,,,,1008.8,5.0,7.8,0.4,,
2020,1,3,2,50,265,7.9,9.5,,,,,1008.6,5.3,7.8,0.1,,
2020,1,3,3,50,250,6.9,8.0,,,,,1008.2,5.7,7.8,0.4,,
2020,1,3,4,50,245,6.2,7.5,,,,,1007.3,6.2,7.8,1.5,,
2020,1,3,5,50,219,4.6,5.5,,,,,1006.4,6.3,7.8,1.7,,
2020,1,3,6,50,193,4.8,5.7,,,,,1006.0,6.3,7.9,3.1,,
2020,1,3,7,50,198,3.5,4.3,,,,,1006.0,6.7,7.9,4.3,,
2020,1,3,8,50,264,7.6,8.8,,,,,1005.3,7.1,8.0,1.6,,
2020,1,3,9,50,260,6.2,7.3,,,,,1005.7,6.8,8.0,2.4,,
2020,1,3,10,50,283,5.6,6.4,,,,,1005.6,6.4,7.9,2.5,,
